strain_name	CCASM_ID	Species	cultivar	soil	isolation_source	isolation_year	bioproject_accession	genome_status	genome_size	contig_count	proteins	pseudogenes	checkm_completeness	checkm_contamination	Symbiovar
QUR0136	CCASM_20133	Rhizobium_leguminosarum	Heritage_kidney	GSC150	Nodule	2023	PRJNA1414687	complete	7826496	5	7166	247	99.94	0.34	phaseoli_a
QUR0138	CCASM_20135	Rhizobium_leguminosarum	Heritage_kidney	GSC150	Nodule	2023	PRJNA1414687	complete	7534639	5	6939	229	99.94	0.09	phaseoli_y-a
QUR0139	CCASM_20136	Rhizobium_leguminosarum	Heritage_kidney	GSC150	Nodule	2023	PRJNA1414687	complete	7418219	6	6851	222	99.94	0.03	phaseoli_y-a
QUR0157	CCASM_20154	Rhizobium_leguminosarum	Heritage_kidney	GSC148	Nodule	2023	PRJNA1414687	complete	7443384	5	6867	230	99.94	0.03	phaseoli_y-a
QUR0169	CCASM_20166	Rhizobium_leguminosarum	Commercian_navy	GSC150	Nodule	2023	PRJNA1414687	complete	7683926	5	7080	231	99.94	0.25	phaseoli_y-a
QUR0177	CCASM_20174	Rhizobium_leguminosarum	Commercian_navy	GSC149	Nodule	2023	PRJNA1414687	complete	7411379	5	6826	211	99.94	0.34	phaseoli_y-a
QUR0186	CCASM_20182	Rhizobium_leguminosarum	Heritage_navy	GSC148	Nodule	2023	PRJNA1414687	complete	7584966	5	6946	318	99.94	0.34	phaseoli_y-a
QUR0210	CCASM_20206	Rhizobium_leguminosarum	Heritage_kidney	GSC152	Nodule	2023	PRJNA1414687	complete	7715815	5	7172	240	99.94	0.4	phaseoli_y-a
QUR0211	CCASM_20207	Rhizobium_leguminosarum	Heritage_kidney	GSC152	Nodule	2023	PRJNA1414687	complete	7715814	5	7174	238	99.94	0.4	phaseoli_y-a
QUR0213	CCASM_20209	Rhizobium_leguminosarum	Heritage_kidney	GSC152	Nodule	2023	PRJNA1414687	complete	7715821	5	7168	244	99.94	0.4	phaseoli_y-a
QUR0214	CCASM_20210	Rhizobium_leguminosarum	Heritage_kidney	GSC152	Nodule	2023	PRJNA1414687	draft	7714036	5	7174	232	99.94	0.4	phaseoli_y-a
QUR0056	CCASM_20053	Rhizobium_mongolense	Commercian_navy	GSC146	Nodule	2023	PRJNA1414687	complete	7262797	4	6653	348	99.15	0.54	gallicum
QUR0080	CCASM_20077	Rhizobium_mongolense	Commercian_navy	GSC145	Nodule	2023	PRJNA1414687	complete	7260602	4	6660	337	98.87	0.54	gallicum
QUR0164	CCASM_20161	Rhizobium_mongolense	Heritage_navy	GSC146	Nodule	2023	PRJNA1414687	complete	7265096	4	6646	357	99.34	0.54	gallicum
QUR0187	CCASM_20183	Rhizobium_mongolense	Heritage_navy	GSC148	Nodule	2023	PRJNA1414687	draft	7334712	6	6749	326	99	0.54	gallicum
QUR0001	CCASM_20000	Rhizobium_sophoriradicis	Heritage_kidney	GSC151	Nodule	2023	PRJNA1414687	complete	6899009	6	6305	316	99.81	0.03	phaseoli_y-a
QUR0002	CCASM_20001	Rhizobium_sophoriradicis	Heritage_kidney	GSC151	Nodule	2023	PRJNA1414687	complete	6896372	6	6326	298	99.81	0.03	phaseoli_y-a
QUR0003	CCASM_20002	Rhizobium_sophoriradicis	Heritage_kidney	GSC151	Nodule	2023	PRJNA1414687	complete	6897219	6	6326	301	99.89	0.03	phaseoli_y-a
QUR0005	CCASM_20004	Rhizobium_sophoriradicis	Heritage_navy	GSC151/GSC152	Nodule	2023	PRJNA1414687	draft	6896377	6	6335	285	99.89	0.03	phaseoli_y-a
QUR0006	CCASM_20005	Rhizobium_sophoriradicis	Heritage_navy	GSC151/GSC152	Nodule	2023	PRJNA1414687	complete	6896363	6	6333	290	99.89	0.03	phaseoli_y-a
QUR0007	CCASM_20006	Rhizobium_sophoriradicis	Heritage_navy	GSC151/GSC152	Nodule	2023	PRJNA1414687	complete	6896375	6	6328	292	99.89	0.03	phaseoli_y-a
QUR0009	CCASM_20007	Rhizobium_sophoriradicis	Heritage_navy	GSC151/GSC152	Nodule	2023	PRJNA1414687	complete	6896362	6	6327	295	99.89	0.03	phaseoli_y-a
QUR0052	CCASM_20049	Rhizobium_sophoriradicis	Heritage_navy	GSC151/GSC152	Nodule	2023	PRJNA1414687	complete	6896388	6	6316	302	99.73	0.03	phaseoli_y-a
QUR0059	CCASM_20056	Rhizobium_sophoriradicis	Heritage_kidney	GSC151	Nodule	2023	PRJNA1414687	complete	6896410	6	6300	324	99.86	0.03	phaseoli_y-a
QUR0060	CCASM_20057	Rhizobium_sophoriradicis	Heritage_kidney	GSC151	Nodule	2023	PRJNA1414687	complete	6896364	6	6334	290	99.89	0.03	phaseoli_y-a
QUR0067	CCASM_20064	Rhizobium_sophoriradicis	Heritage_navy	GSC151	Nodule	2023	PRJNA1414687	complete	6896379	6	6335	287	99.89	0.03	phaseoli_y-a
QUR0069	CCASM_20066	Rhizobium_sophoriradicis	Heritage_navy	GSC151	Nodule	2023	PRJNA1414687	draft	6904241	7	6335	289	99.73	0.03	phaseoli_y-a
QUR0091	CCASM_20088	Rhizobium_sophoriradicis	Heritage_navy	GSC152	Nodule	2023	PRJNA1414687	draft	6893415	7	6326	287	99.89	0.03	phaseoli_y-a
QUR0095	CCASM_20092	Rhizobium_sophoriradicis	Heritage_navy	GSC152	Nodule	2023	PRJNA1414687	complete	6898976	6	6332	292	99.89	0.03	phaseoli_y-a
QUR0119	CCASM_20116	Rhizobium_sophoriradicis	Commercian_navy	GSC152	Nodule	2023	PRJNA1414687	complete	6898995	6	6325	299	99.89	0.03	phaseoli_y-a
QUR0125	CCASM_20122	Rhizobium_sophoriradicis	Heritage_kidney	GSC147	Nodule	2023	PRJNA1414687	complete	7357392	6	6759	339	99.89	0.07	phaseoli_y-b
QUR0131	CCASM_20128	Rhizobium_sophoriradicis	Commercian_navy	GSC152	Nodule	2023	PRJNA1414687	complete	6898980	6	6337	286	99.89	0.03	phaseoli_y-a
QUR0189	CCASM_20185	Rhizobium_sophoriradicis	Heritage_navy	GSC148	Nodule	2023	PRJNA1414687	draft	7399263	6	6834	335	99.89	0.07	phaseoli_y-b
QUR0192	CCASM_20188	Rhizobium_sophoriradicis	Commercial_kidney	GSC151	Nodule	2023	PRJNA1414687	draft	6895608	6	6329	286	99.89	0.03	phaseoli_y-a
QUR0197	CCASM_20193	Rhizobium_sophoriradicis	Commercian_navy	GSC151	Nodule	2023	PRJNA1414687	complete	6896397	6	6311	317	99.78	0.03	phaseoli_y-a
QUR0198	CCASM_20194	Rhizobium_sophoriradicis	Commercian_navy	GSC151	Nodule	2023	PRJNA1414687	complete	6896359	6	6335	287	99.89	0.03	phaseoli_y-a
QUR0199	CCASM_20195	Rhizobium_sophoriradicis	Commercian_navy	GSC151	Nodule	2023	PRJNA1414687	complete	6896323	6	6334	291	99.89	0.03	phaseoli_y-a
QUR0200	CCASM_20196	Rhizobium_sophoriradicis	Commercian_navy	GSC151	Nodule	2023	PRJNA1414687	complete	6896362	6	6330	293	99.89	0.03	phaseoli_y-a
QUR0201	CCASM_20197	Rhizobium_sophoriradicis	Commercian_navy	GSC151	Nodule	2023	PRJNA1414687	complete	6896366	6	6326	297	99.8	0.03	phaseoli_y-a
QUR0202	CCASM_20198	Rhizobium_sophoriradicis	Commercian_navy	GSC151	Nodule	2023	PRJNA1414687	complete	6897852	6	6334	291	99.89	0.03	phaseoli_y-a
QUR0212	CCASM_20208	Rhizobium_sophoriradicis	Heritage_kidney	GSC152	Nodule	2023	PRJNA1414687	complete	6898992	6	6336	288	99.89	0.03	phaseoli_y-a
QUR0259	CCASM_20250	Rhizobium_sophoriradicis	Commercian_navy	GSC152	Nodule	2023	PRJNA1414687	complete	6898983	6	6329	299	99.89	0.03	phaseoli_y-a
QUR0260	CCASM_20251	Rhizobium_sophoriradicis	Commercian_navy	GSC152	Nodule	2023	PRJNA1414687	complete	6898975	6	6335	290	99.89	0.03	phaseoli_y-a
QUR0262	CCASM_20253	Rhizobium_sophoriradicis	Commercian_navy	GSC151	Nodule	2023	PRJNA1414687	complete	6896362	6	6334	289	99.89	0.03	phaseoli_y-a
QUR0265	CCASM_20256	Rhizobium_sophoriradicis	Commercial_kidney	GSC151	Nodule	2023	PRJNA1414687	complete	7361039	6	6735	365	99.71	0.07	phaseoli_y-b
QUR0029	CCASM_20026	Rhizobium_spA	Commercial_kidney	GSC150	Nodule	2023	PRJNA1414687	complete	6858340	7	6288	192	99.69	0.08	phaseoli_a
QUR0042	CCASM_20039	Rhizobium_spA	Commercian_navy	GSC144	Nodule	2023	PRJNA1414687	complete	7208076	8	6606	218	99.69	0.22	phaseoli_a
QUR0044	CCASM_20041	Rhizobium_spB	Commercial_kidney	GSC146	Nodule	2023	PRJNA1414687	complete	7360019	6	6805	273	99.84	0.18	phaseoli_a
QUR0047	CCASM_20044	Rhizobium_spB	Heritage_kidney	GSC148	Nodule	2023	PRJNA1414687	complete	7353344	6	6775	266	99.94	0.18	phaseoli_a
QUR0063	CCASM_20060	Rhizobium_spA	Heritage_navy	GSC149	Nodule	2023	PRJNA1414687	draft	6812903	7	6212	239	99.04	0.03	phaseoli_a
QUR0070	CCASM_20067	Rhizobium_spA	Heritage_navy	GSC144	Nodule	2023	PRJNA1414687	complete	7208053	8	6619	205	100	0.22	phaseoli_a
QUR0071	CCASM_20068	Rhizobium_spA	Heritage_navy	GSC144	Nodule	2023	PRJNA1414687	complete	6921934	7	6402	192	100	0.08	phaseoli_a
QUR0073	CCASM_20070	Rhizobium_spA	Heritage_navy	GSC144	Nodule	2023	PRJNA1414687	complete	7208068	8	6621	202	99.69	0.22	phaseoli_a
QUR0075	CCASM_20072	Rhizobium_spA	Heritage_navy	GSC144	Nodule	2023	PRJNA1414687	complete	7208042	8	6632	191	99.85	0.22	phaseoli_a
QUR0092	CCASM_20089	Rhizobium_spA	Heritage_navy	GSC152	Nodule	2023	PRJNA1414687	draft	6893082	9	6326	186	100	0.08	phaseoli_a
QUR0093	CCASM_20090	Rhizobium_spA	Heritage_navy	GSC152	Nodule	2023	PRJNA1414687	complete	6876132	7	6317	184	100	0.08	phaseoli_a
QUR0107	CCASM_20104	Rhizobium_spB	Commercial_kidney	GSC148	Nodule	2023	PRJNA1414687	complete	7307088	6	6730	266	99.94	0.18	phaseoli_a
QUR0108	CCASM_20105	Rhizobium_spA	Commercian_navy	GSC144	Nodule	2023	PRJNA1414687	complete	7208039	8	6635	186	100	0.22	phaseoli_a
QUR0188	CCASM_20184	Rhizobium_spB	Heritage_navy	GSC148	Nodule	2023	PRJNA1414687	complete	7358785	6	6773	274	99.94	0.18	phaseoli_a
QUR0208	CCASM_20204	Rhizobium_spA	Heritage_kidney	GSC144	Nodule	2023	PRJNA1414687	draft	7207816	8	6640	185	100	0.22	phaseoli_a
QUR0225	CCASM_20221	Rhizobium_spB	Heritage_kidney	GSC145	Nodule	2023	PRJNA1414687	complete	7521384	6	6944	278	99.94	0.24	phaseoli_a
